country,prime,area_2000_ha,area_2010_ha,area_2016_ha,area_2023_ha
Albania,Debine e Bardhë,,,,71
Albania,Kadarka,,,,111
Albania,Merlot,,,,735
Albania,Pules,,,,150
Albania,Serina e Zezë,,,,150
Albania,Shesh i Bardhë,,,,1352
Albania,Shesh i Zi,,,,2720
Albania,Vlosh,,,,33
Albania,other,,,,3078
Algeria,Alicante Henri Bouschet,3020,3020,,
Algeria,Cabernet Sauvignon,1510,1510,1000,280
Algeria,Cinsaut,7550,7550,,
Algeria,Garnacha Tinta,6040,6040,2000,560
Algeria,Mazuelo,7550,7550,3000,840
Algeria,Merlot,1510,1510,1000,280
Algeria,Muscat of Alexandria,,,200,56
Algeria,Pinot Noir,1510,1510,,
Algeria,Sultaniye,,,100,28
Algeria,Syrah,1510,1510,1000,280
Argentina,Afus Ali,,,,48.7666
Argentina,Aglianico,81.5644,84.3561,50.9,3.0087
Argentina,Ahmeur Bou Ahmeur,,,,0.6
Argentina,Alba,,,,26.2484
Argentina,Alicante Henri Bouschet,113.4495,257.2152,135.4,130.8596
Argentina,Alphonse Lavallée,,,,315.8727
Argentina,Alvarelhão,,,6.4,
Argentina,Alvarinho,,1.95,,11.1799
Argentina,Ancellotta,13.4424,208.9619,991.1,2393.7247
Argentina,Argentina,,,,4.53
Argentina,Arinarnoa,0.95,0.95,1,1.11
Argentina,Arizul,,,,1294.1232
Argentina,Aspiran Bouschet,432.4426,2244.8736,4086.6,4435.0104
Argentina,Aurore,,,,3.483
Argentina,Barbera,1054.8559,733.3788,443.5,371.1242
Argentina,Beba,,,,0.45
Argentina,Bicane,,,,3.37
Argentina,Bombino Bianco,10.122,10.122,9.4,9.41
Argentina,Bonamico,253.4047,206.3675,136.8,101.5977
Argentina,Bourboulenc,0.09,3.5365,0.2,0.2265
Argentina,Béquignol Noir,1081.9328,890.1111,615.7,476.9851
Argentina,Caberinta,85.3437,68.796,38.3,37.9456
Argentina,Cabernet Franc,251.7168,592.205,928.848,1684.2915
Argentina,Cabernet Sauvignon,13776.3224,17674.0321,15355.7,13468.9582
Argentina,Caladoc,0.67,13.5892,15.4,21.1321
Argentina,Canari Noir,218.1767,149.8523,79.5,47.246
Argentina,Canela,0.1866,1.3083,2.8,1.1725
Argentina,Canelon,8,8,,
Argentina,Cardinal,679.8978,,2.2,417.1482
Argentina,Carmenère,,33.1154,58.7,48.7659
Argentina,Casavecchia,,,5.8,7.02
Argentina,Cereza,31113.353,29934.1788,28886.6,24834.0451
Argentina,Chardonnay,4681.784,6583.8365,6226.7,5522.1561
Argentina,Chenin Blanc,3444.9814,2850.5778,2156.625,1591.9161
Argentina,Cinsaut,5.9485,5.9485,1.4,1.37
Argentina,Cornichon Blanc,,,,3.743
Argentina,Corvina Veronese,19.15,18.7775,16.8,16.8422
Argentina,Corvinone,,0.7,0.4,0.3528
Argentina,Crimson Seedless,,,,0.565
Argentina,Criolla Grande,24264.0687,20744.8013,15595.6,12530.9606
Argentina,Criolla Mediana,1.49,3.49,6.9,7.4666
Argentina,Croatina,,15.3462,16.3,16.346
Argentina,Côt,18229.5515,28543.1155,40401.2,46540.5465
Argentina,Damaschino,826.5081,673.6203,526.6,382.3845
Argentina,Dauphine,,,,3.4463
Argentina,Dawn Seedless,14.6,,,12.767
Argentina,Dolcetto,5.7948,6.2497,7,2.3717
Argentina,Douce Noire,15659.2701,18775.4493,19071.5,17447.4201
Argentina,Ekigaina,,0.95,1,0.96
Argentina,Emerald Riesling,,,,0.882
Argentina,Emperatriz,,,,15.5909
Argentina,Emperor,,,,26.6484
Argentina,Fer,347.9329,262.703,183,138.1127
Argentina,Ferral,48.4565,30.4083,31.3,30.0721
Argentina,Fiano,,,4.9,5.19
Argentina,Fiesta,,,,1320.3138
Argentina,Fintendo,144.0707,118.1123,184.5,165.5442
Argentina,Flame Seedless,515.5386,,,5187.6107
Argentina,Freisa,13.9944,12.1994,5.3,4.4457
Argentina,Gamay Noir,1.8375,1.6375,0.4,0.4075
Argentina,Garganega,4.2675,21.3137,29.9,28.8323
Argentina,Gargiulo 102011,,,,249.5811
Argentina,Gargiulo 14260,1,1,,
Argentina,Gargiulo 2539,69.0009,48.834,29.1,24.714
Argentina,Gargiulo 26189,5.82,,,
Argentina,Gargiulo 26879,4.15,2.5,,
Argentina,Gargiulo 4113,7.2339,6.105,2.6,2.63
Argentina,Gargiulo 45803,3.839,8.1,10.3,9.45
Argentina,Gargiulo 87746,,,,0.022
Argentina,Gargiulo 88087,,,,202.8479
Argentina,Garnacha Blanca,,,1.5,1.04
Argentina,Garnacha Tinta,8.705,21.8762,21.9,46.9283
Argentina,Gewürztraminer,,,,24.7228
Argentina,Gibi,1226.6831,1073.8209,784.5,639.0769
Argentina,Graciano,50.093,29.412,18.3,18.2974
Argentina,Grand Noir,4.13,2.06,,
Argentina,Greco,,0.25,0.3,0.26
Argentina,Greco Nero,513.2409,429.0517,356.4,285.8062
Argentina,Grüner Veltliner,,,7.3,11.6684
Argentina,Isabella,74.1798,,,55.8653
Argentina,Italia,256.8802,192.1706,,65.6848
Argentina,Joubertin,1.439,1.439,,
Argentina,Kishmish Chernyi,,,,23.491
Argentina,Kishmish Rozovyi,,,,2
Argentina,Lambrusco Grasparossa,,8.1,10.8,8.4125
Argentina,Lambrusco Maestri,151.0015,88.8729,47.7,45.8618
Argentina,Lattuario Nero,,,,11.0955
Argentina,Listán Prieto,1057.3153,844.8638,374.1,553.8274
Argentina,Macabeo,3.3,1.75,,
Argentina,Malvasia,60.5233,45.0382,21.1,17.6424
Argentina,Malvasia Nera di Brindisi,,0.32,,
Argentina,Marsanne,0.09,1.2465,2.1,4.0865
Argentina,Marselan,,7.95,9.7,72.2754
Argentina,Maticha,353.9356,311.1298,257,198.0529
Argentina,Mazuelo,56.9055,30.4391,13.2,12.4776
Argentina,Melon,,1,1,1
Argentina,Merlot,6263.2421,6952.8284,5632,4703.1785
Argentina,Michele Palieri,21.94,,,2.855
Argentina,Molinara,2.38,0.6,,0.36
Argentina,Monastrell,0.32,0.7462,12,9.2002
Argentina,Montepulciano,49.0677,94.1726,82.1,51.5913
Argentina,Moscato Giallo,196.991,155.6004,118.8,97.64
Argentina,Muscat Blanc à Petits Grains,149.2917,139.4793,94.2,60.069
Argentina,Muscat Blanc à Petits Grains (G),10442.3673,8691.4622,6526.105,4945.5144
Argentina,Muscat of Alexandria,5515.2291,4035.4128,2715.5,1933.0779
Argentina,Muscat of Hamburg,2.0843,1.9843,,0.1517
Argentina,Nebbiolo,217.7765,180.4918,31.6,30.2403
Argentina,Negroamaro,,,,0.2023
Argentina,Nero d'Avola,5.107,3.827,0.4,0.2536
Argentina,Nevado,,,,30.401
Argentina,Palomino Fino,215.8374,162.6699,103.8,69.3801
Argentina,Pasiga,,,,3.247
Argentina,Patagonia,29.148,39.5238,,17.38
Argentina,Patrizia Rosa,10.45,152.274,,411.5455
Argentina,Pecorino,,,,0.55
Argentina,Pedro Giménez,14862.0256,13384.2726,11197,9029.0911
Argentina,Perlette,13.6834,,,8.349
Argentina,Perlon,,,,2.062
Argentina,Petit Manseng,,5.548,11.9,18.12
Argentina,Petit Verdot,158.9749,458.8034,739.6,639.1877
Argentina,Pinot Blanc,39.8371,27.2485,8.5,10.9378
Argentina,Pinot Gris,13.0443,386.2326,400.9,521.1454
Argentina,Pinot Meunier,10.68,11.48,11.2,10.8
Argentina,Pinot Noir,1113.9097,1689.2012,1866.4,1943.8294
Argentina,Prosecco,9.428,9.62,11.4,14.714
Argentina,Raboso Piave,63.9224,48.5199,24.1,22.4181
Argentina,Red Globe,1940.2082,,,2221.1385
Argentina,Rieslina,218.9687,174.4497,103.4,76.5641
Argentina,Riesling,150.4727,110.1394,93.2,69.4145
Argentina,Rondinella,,0.5,0.3,0.0621
Argentina,Roussanne,,,,3.71
Argentina,Ruby Cabernet,1.8,4.8354,1.8,0.1114
Argentina,Ruby Seedless,24.5,,,35.2441
Argentina,Rutilia,,,,0.5375
Argentina,Saint Jeannet,67.9536,55.5048,42.8,23.6798
Argentina,Sangiovese,2490.4047,2230.881,1837.4,1415.0795
Argentina,Sauvignon Blanc,864.7129,2297.2024,2148,1828.8383
Argentina,Sauvignon Blanc (G),5.52,5.52,5.5,5.39
Argentina,Sauvignonasse,756.1866,628.8566,423.517,311.754
Argentina,Savagnin Blanc,11.41,20.8843,21.6,
Argentina,Serna,18.6191,36.1021,,77.5545
Argentina,Silvaner,3.3609,9.8609,3.4,3.3609
Argentina,Sultaniye,,,,1191.2282
Argentina,Superior Seedless,,,,1689.9556
Argentina,Syrah,8888.1915,13093.1126,12706.9,11106.6774
Argentina,Sémillon,1032.9946,955.8099,767.2,578.3883
Argentina,Tannat,174.3528,580.772,837.1,826.3823
Argentina,Tempranillo,4719.8824,6564.6558,6139.7,5192.7676
Argentina,Teroldego,,,,1.25
Argentina,Torrontes Mendocino,779.9365,660.9956,652.5,520.0642
Argentina,Torrontés Riojano,8126.6567,8480.1235,8208.1,7287.6599
Argentina,Torrontés Sanjuanino,3169.5538,2527.0226,1884.8,1405.6205
Argentina,Touriga Franca,,0.43,,
Argentina,Touriga Nacional,,14.2925,27.3,19.3032
Argentina,Trebbiano Toscano,2764.5223,2424.8301,1621.5,1181.5751
Argentina,Tribidrag,6.18,0.36,0.7,1.7997
Argentina,Trincadeira,,0.25,0.3,
Argentina,Trousseau,75.2903,54.4593,33.7,23.2423
Argentina,Verdejo,,,,0.71
Argentina,Verdelho,4,15.49,17.8,13.43
Argentina,Verdicchio Bianco,,1.5,7.3,7.717
Argentina,Verduzzo Friulano,5.5544,4.6256,1.7,0.4622
Argentina,Vermentino,2.5293,2.5293,1.6,1.6103
Argentina,Victoria,145.4859,,,102.3228
Argentina,Viognier,151.3055,754.2358,772.7357,640.0865
Argentina,other,,,,60.3736
Argentina,other red,66.5668,55.5818,37.9,36.089
Argentina,other white,29.6683,31.0599,67.9,611.3045
Armenia,Akhtanak,,,,147.8605
Armenia,Alurdreni,,,,46.907
Armenia,Areni Sev,,,,883.98351
Armenia,Bayanshira,,,,202.6622
Armenia,Charentsi,,,,36.98
Armenia,Chilar,,,,46.997
Armenia,Garandmak,930.7778,930.7778,,40.714
Armenia,Kangun,849.8406,849.8406,,3802.5619
Armenia,Karmrahyut,,,,223.219
Armenia,Khindogni,,,,30.125
Armenia,Lalvari,,,,68.89627
Armenia,Megrabuir,,,,732.41635
Armenia,Milagh,,,,106.498
Armenia,Mskhali,1092.652,1092.652,,96.714
Armenia,Muscat,,,,82.6296
Armenia,Muscat Blanc à Petits Grains,526.0918,526.0918,,
Armenia,Nerkeni,,,,53.3
Armenia,Rkatsiteli,2468.585,2468.585,,2753.8262
Armenia,Tigrani,,,,34.9
Armenia,Voskeat,809.372,809.372,,146.6724
Armenia,other red,,,4405,
Armenia,other white,4528.4359,4528.4359,10300,
Australia,Afus Ali,327.7,,,9.364801884
Australia,Aglianico,,,,7
Australia,Alicante Henri Bouschet,,,,15
Australia,Arneis,,152.6,25.34051473,35.61376614
Australia,Barbera,102.9,116.1,87.08913303,116.5565353
Australia,Biancone di Portoferraio,,,7,
Australia,Cabernet Franc,744,590.7,322.8994574,319.3396347
Australia,Cabernet Sauvignon,24996.5,25967,25271.24878,26739.45313
Australia,Canada Muscat,48.6,,,326.7033548
Australia,Carignan Bouschet,,,,14
Australia,Cayetana Blanca,248.9,,71,30
Australia,Chardonnay,17265.8,27772.8,22456.46023,21454.42352
Australia,Chenin Blanc,840.9,541,445.660005,410.660005
Australia,Cinsaut,,,,8
Australia,Colombard,1801.4,2205.1,1757.625631,1386.342428
Australia,Crouchen,97.6,95.2,,33.34786892
Australia,Côt,428.7,355.7,516.9177264,594.0246812
Australia,Dolcetto,,154.2,96.58059695,99.74238899
Australia,Durif,181,416.7,566.2734038,840.4935143
Australia,Fiano,,,75.18858382,196.8343478
Australia,Gamay Noir,,,,6
Australia,Garnacha Blanca,,,,4
Australia,Garnacha Tinta,2139,1747.7,1834.236523,1828.536076
Australia,Gewürztraminer,521.3,834.4,784.0436373,658.540081
Australia,Graciano,,,,12
Australia,Grüner Veltliner,,,16,20
Australia,Korinthiaki,778.3,,,
Australia,Lagrein,,,11,10
Australia,Marsanne,216.2,238.1,156.3116643,136.8466473
Australia,Mazuelo,89.6,,,
Australia,Mencía,,,,8
Australia,Merlot,7669.1,10027.85,8731.541647,8108.131469
Australia,Monastrell,947.8,691.7,775.2921707,809.3463071
Australia,Montepulciano,,,25.9364382,89.95575011
Australia,Muscadelle,198,67.3,113.3722669,141.0390745
Australia,Muscat Blanc à Petits Grains,213.8,532.7,910.9211229,1035.311968
Australia,Muscat Blanc à Petits Grains (R),380.1,230,234.615299,267.0911725
Australia,Muscat of Alexandria,2495.4,2043.3,2219.691953,1854.417772
Australia,Nebbiolo,50.2,97.8,105.9523588,123.0509906
Australia,Nero d'Avola,,,40.6432706,99.92307995
Australia,Palomino Fino,124.4,,7,17.03396749
Australia,Pedro Ximénez,89,,5,14.51610653
Australia,Petit Verdot,721,1223.3,1146.456736,1096.61691
Australia,Pinot Blanc,,,,2
Australia,Pinot Gris,,3296,4015.018046,4917.911966
Australia,Pinot Meunier,107.2,,27,102.9529578
Australia,Pinot Noir,3223.4,4690,5211.086382,6042.113936
Australia,Prosecco,,,189.9376123,320.3904457
Australia,Riesling,3128.7,4114.1,3499.405329,3178.595931
Australia,Roussanne,,83,6,45.94483352
Australia,Rubired,,,24,
Australia,Ruby Cabernet,2424.4,961.5,834.2732454,708.4433243
Australia,Sagrantino,,,,7
Australia,Sangiovese,371.8,588.7,440.7574652,430.5992874
Australia,Saperavi,,,,11
Australia,Sauvignon Blanc,2601.9,6467.1,6502.710632,6430.623251
Australia,Savagnin Blanc,,94,131.5376464,136.4305837
Australia,Sultaniye,10297.9,430.2,173.6084938,121.9604688
Australia,Syrah,29295,42675.3,41288.3269,43605.88867
Australia,Sémillon,6528.2,6112.3,4597.114602,3787.843882
Australia,Taminga,45.6,,,
Australia,Tannat,,,,2
Australia,Tarrango,120.1,72.3,4,29.20815372
Australia,Tempranillo,41.4,476.1,714.7597704,840.3690685
Australia,Touriga Nacional,72.8,47.6,,70.69255562
Australia,Trebbiano Toscano,685.2,85.8,15,36.16698986
Australia,Tribidrag,,149.3,66.57067528,77.06269732
Australia,Verdelho,1293.2,1535.3,1063.113048,1055.697914
Australia,Vermentino,,,83.76956883,104.0182765
Australia,Viognier,116.7,1402.1,812.7120836,686.4683248
Australia,other,,,3149.71004,2256.650148
Australia,other red,2868.1,1150.5,,623.5739312
Australia,other white,3663.4,1255.85,,364.5370674
Austria,Blauburger,1767.9,896.89,750.02,438.3
Austria,Blauer Portugieser,4716.38,1621.28,1264.81,453.33
Austria,Blauer Wildbacher,928.22,365.34,433.82,529.47
Austria,Blaufränkisch,5281.2,3227.93,2807.79,2602.25
Austria,Blutenmuskateller,,,,111.79
Austria,Bouvier,729.86,234.39,216.34,203.52
Austria,Cabernet Franc,54.24,55.97,64.37,106.52
Austria,Cabernet Sauvignon,623.32,591.58,566.77,574.36
Austria,Chardonnay,,1379.87,1576.81,1937.59
Austria,Frühroter Veltliner,1251.58,424.1,368.62,237.61
Austria,Furmint,2.32,9.16,8.63,31.17
Austria,Gewürztraminer,725.74,309.01,,262.94
Austria,Goldburger,617.1,140.08,97.72,31.5
Austria,Graševina,8646.1,3462.11,3232.94,2841.71
Austria,Grüner Veltliner,34958.58,13518.83,14375.84,14426.9
Austria,Jubiläumsrebe,60.54,13.11,6.2,2.28
Austria,Merlot,223.52,644.21,694.63,816.34
Austria,MosGiallo,,,,46.82
Austria,Moscato Rosa del Trentino,,,,8.82
Austria,Muscaris,,,,97.24
Austria,Muscat Blanc à Petits Grains,286.58,492,823.23,1527.99
Austria,Muscat Ottonel,836.34,359.18,343.86,
Austria,Muskat Ottonel,,,,317.69
Austria,Müller-Thurgau,6578.56,2043.77,1777.12,1233.31
Austria,Neuburger,2187.68,651.95,507.26,247.11
Austria,Pinot Blanc,5871.08,1914.44,1916.15,1860.97
Austria,Pinot Gris,585.14,214.64,224.05,315.79
Austria,Pinot Noir,817.86,645.78,613.81,600.95
Austria,Rathay,,8.73,31.88,50.57
Austria,Riesling,3285.98,1851.5,2015.79,2264.8
Austria,Roter Veltliner,515.34,193.45,197.52,197.67
Austria,Rotgipfler,236.84,105.23,123.26,113.07
Austria,Rösler,,160.43,215.75,280.14
Austria,Sankt Laurent,830.12,775.36,724.25,601.32
Austria,Sauvignon Blanc,628.8,844.83,1170.19,1721.15
Austria,Savagnin Blanc,,,288.06,
Austria,Scheurebe,1058.92,375.75,350.86,299.98
Austria,Silvaner,105.2,41.91,38.46,22.86
Austria,Souvignier Gris,,,,66.2
Austria,Syrah,,136.8,140.53,152.88
Austria,Zierfandler,196.48,85.37,82.38,61.44
Austria,Zweigelt,8699.44,6411.71,6311.2,6094.65
Austria,other red,761.06,170.74,317.68,
Austria,other white,2924.28,1155.75,760.26,
Belgium,Acolon,,,,10.86242309
Belgium,Albana,,,,0.04124970801
Belgium,Aligoté,,,,0.2749980509
Belgium,Alvarinho,,,,1.003742884
Belgium,Artaban,,,,0.02749980519
Belgium,Auxerrois,,,,50.02214611
Belgium,Bacchus,,,,1.086242297
Belgium,Baco Noir,,,,0.09624931745
Belgium,Barbera,,,,0.6737452352
Belgium,Bianca,,,,0.8112442607
Belgium,Blattner Cal 1-22,,,,0.164998832
Belgium,Blattner Cal 1-28,,,,0.1374990255
Belgium,Blaufränkisch,,,,0.90749358
Belgium,Bronner,,,,6.201206098
Belgium,Cabaret Noir,,,,11.21992055
Belgium,Caberne Jjura,,,,2.79123023
Belgium,Cabernet Blanc,,,,4.729966464
Belgium,Cabernet Cantor,,,,6.118706656
Belgium,Cabernet Cortis,,,,16.89863018
Belgium,Cabernet Cubin,,,,0.04124970801
Belgium,Cabernet Dorio,,,,0.90749358
Belgium,Cabernet Dorsa,,,,13.51615437
Belgium,Cabernet Franc,,,,0.9487432861
Belgium,Cabernet Mitos,,,,0.04124970801
Belgium,Cabernet Sauvignon,,,,0.2474982443
Belgium,Cabertin,,,,1.058742512
Belgium,Calandra,,,,0.164998832
Belgium,Calardis Blanc,,,,0.1099992207
Belgium,Chardonnay,,,,398.8296768
Belgium,Chardonnay Rose,,,,0.08249941602
Belgium,Chasselas,,,,0.7424947405
Belgium,Chenin Blanc,,,,2.681231034
Belgium,Côt,,,,0.7287448335
Belgium,Dakapo,,,,0.02749980519
Belgium,Divico,,,,5.994957552
Belgium,Divona,,,,0.879993766
Belgium,Dornfelder,,,,14.43739772
Belgium,Dunkelfelder,,,,0.08249941602
Belgium,Floreal,,,,0.3437475637
Belgium,Gamaret,,,,1.979985955
Belgium,Gamay Noir,,,,5.967457738
Belgium,Garanoir,,,,1.278740935
Belgium,Garnacha Tinta,,,,0.04124970801
Belgium,Gewürztraminer,,,,3.671224041
Belgium,Godello,,,,0.08249941602
Belgium,Gouais Blanc,,,,0.1237491222
Belgium,Grolleau Noir,,,,0.05499961037
Belgium,Grüner Veltliner,,,,1.099992204
Belgium,Helios,,,,2.131234932
Belgium,Heunisch Weiss,,,,0.05499961037
Belgium,Johanniter,,,,95.56182289
Belgium,Kerner,,,,5.651209936
Belgium,Kersus,,,,0.1787487353
Belgium,Kleinberger Gelber,,,,0.1099992207
Belgium,Laurot,,,,0.2474982443
Belgium,Léon Millot,,,,0.439996883
Belgium,Malvasia,,,,0.3162477571
Belgium,Maréchal Foch,,,,0.1787487353
Belgium,Merlot,,,,8.00244338
Belgium,Merlot Kanthus,,,,0.05499961037
Belgium,Merlot Khorus,,,,6.324955201
Belgium,Merzling,,,,0.6874951273
Belgium,Monarch,,,,2.089985211
Belgium,Muscaris,,,,32.17477169
Belgium,Muscat,,,,1.319990656
Belgium,Muscat Bleu,,,,3.781223178
Belgium,Muscat Ottonel,,,,0.2199984415
Belgium,Müller-Thurgau,,,,18.3836199
Belgium,Nebbiolo,,,,0.6462454212
Belgium,Optima,,,,0.9487432861
Belgium,Ortega,,,,0.604995715
Belgium,Palatina,,,,0.05499961037
Belgium,Petit Meslier,,,,0.3162477571
Belgium,Phoenix,,,,2.117485025
Belgium,Pinot Blanc,,,,28.37979902
Belgium,Pinot Gris,,,,56.58084915
Belgium,Pinot Kors,,,,2.103735118
Belgium,Pinot Meunier,,,,44.71468307
Belgium,Pinot Noir,,,,153.7101604
Belgium,Pinot Noir Précoce,,,,3.451225588
Belgium,Pinotin,,,,9.941179495
Belgium,Prior,,,,0.3849972698
Belgium,Ravat Blanc,,,,4.069971166
Belgium,Rayon d'Or,,,,0.2749980509
Belgium,Reberger,,,,0.2749980509
Belgium,Regent,,,,17.77862423
Belgium,Reichensteiner,,,,0.3437475637
Belgium,Riesel,,,,0.1787487353
Belgium,Riesling,,,,15.19364243
Belgium,Rinot,,,,0.2199984415
Belgium,Rondo,,,,6.393704677
Belgium,Roter Veltliner,,,,0.2337483448
Belgium,Räuschling,,,,0.1099992207
Belgium,Sangiovese,,,,0.01374990259
Belgium,Sankt Laurent,,,,0.9349933791
Belgium,Satin Noir,,,,3.203727322
Belgium,Sauvignac,,,,17.86112331
Belgium,Sauvignon Blanc,,,,4.716216617
Belgium,Sauvignon Blanc (G),,,,1.608738614
Belgium,Sauvignon Rytos,,,,0.06874951273
Belgium,Savagnin Blanc,,,,0.604995715
Belgium,Schuyler,,,,0.04124970801
Belgium,Schönburger,,,,0.4262469834
Belgium,Seyval Blanc,,,,0.439996883
Belgium,Siegerrebe,,,,1.704987934
Belgium,Silvaner,,,,0.1237491222
Belgium,Sirius,,,,0.4674966896
Belgium,Solaris,,,,43.66969086
Belgium,Soreli,,,,1.539989079
Belgium,Souvignier Gris,,,,45.86967503
Belgium,Syrah,,,,0.6599953282
Belgium,Tempranillo,,,,1.182491616
Belgium,Trousseau,,,,0.01374990259
Belgium,UD 31103,,,,0.1099992207
Belgium,Viognier,,,,0.06874951273
Belgium,Voltis,,,,5.004964604
Belgium,Würzer,,,,0.3437475637
Belgium,Zweigelt,,,,3.808722992
Belgium,other,,,,4.028721471
Brazil,Alfrocheiro,,0.9857778,,
Brazil,Alicante Henri Bouschet,,128.6876,100.5118108,150.7677155
Brazil,Aligoté,,0.0733333,,
Brazil,Alvarelhão,,,1.810303266,2.715454817
Brazil,Alvarinho,,0.2619722,,
Brazil,Ancellotta,,99.19439,19.79931414,29.69897079
Brazil,Arinarnoa,,3.465917,1.956507733,2.934761524
Brazil,Arriloba,,2.986528,1.887829236,2.831743956
Brazil,Aspiran Bouschet,,,1.426765376,2.140148163
Brazil,Bailey,,34.37086111,48.96898537,73.45347595
Brazil,Barbera,,4.815917,1.629925441,2.444888115
Brazil,Bokay,,,4.190383699,6.28557539
Brazil,Bordô,,,,10115.40234
Brazil,Bordô,3379.128,8287.27725,6743.601518,
Brazil,Cabernet Franc,404.686,228.6948,90.79673411,136.1950989
Brazil,Cabernet Sauvignon,586.7947,913.5151,428.8648141,643.2972412
Brazil,Caladoc,,,0.2410935989,0.3616403937
Brazil,Carmem,,,327.8623004,491.793457
Brazil,Carmenère,,7.379389,9.666083823,14.49912548
Brazil,Castelão,,1.646111,,
Brazil,Chardonnay,329.8191,376.8234,339.5374239,509.3061218
Brazil,Chasselas,,3.029639,,
Brazil,Chenin Blanc,,17.60695,6.699747809,10.04962158
Brazil,Clairette,,0.07908333333,,
Brazil,Clara,,,0.04313142366,0.06469713897
Brazil,Colombard,,45.60914,22.30215324,33.453228
Brazil,Concord,2509.053,3542.756361,1687.086964,2530.630371
Brazil,Concord Clone 30,,,195.8446436,293.7669678
Brazil,Cora,,,570.1921123,855.288147
Brazil,Corvina Veronese,,0.0525,0.04633863209,0.06950794905
Brazil,Couderc 13,,,474.0925356,711.1387939
Brazil,Couderc Noir,299.4677,3310.394917,1937.831385,2906.74707
Brazil,Côt,,37.44231,29.62631135,44.43946838
Brazil,Dona Zillá,,,0.8725818787,1.308872819
Brazil,Douce Noire,,0.1070833333,,
Brazil,Durif,,6.940084,2.71661613,4.074923992
Brazil,Egiodola,,98.54528,57.49463012,86.24194336
Brazil,Ekigaina,,0.1125,,
Brazil,Flora,,5.701111,0.1161230637,0.1741845906
Brazil,Freisa,,0.7758333333,,
Brazil,Furmint,,13.22386,0.2720597493,0.4080896378
Brazil,Gamay Noir,,15.549831,5.081987641,7.622981548
Brazil,Garganega,,0.2641666667,,
Brazil,Garnacha Tinta,,0.8191111333,,
Brazil,Gewürztraminer,139.6167,12.98214,9.443016947,14.16452503
Brazil,Godello,,0.5078333333,,
Brazil,Goethe,,,19.8201057,29.73015785
Brazil,Graševina,880.1921,200.149,187.7044168,281.5566101
Brazil,Gros Manseng,,0.4149722,,
Brazil,Herbemont,1452.823,764.46875,112.0530056,168.0795135
Brazil,Isabella,14285.42,18278.67514,11664.31678,17496.47461
Brazil,Italia,,0.3134722,,
Brazil,Jacquez,169.9681,2251.515389,1273.855411,1910.783081
Brazil,Juliana,,0.2316666667,,
Brazil,Lagrein,,0.2674444,,
Brazil,Lambrusco,,7.624917,2.187979707,3.281969547
Brazil,Lorena,,519.3917778,499.9785783,749.9678955
Brazil,Magna,,,30.48130888,45.72196198
Brazil,Malvasia Bianca Lunga,,0.1785,0.1453197197,0.2179795802
Brazil,Malvasia Bianca di Candia,,113.81559,165.4507035,248.1760559
Brazil,Malvasia Fina,,,0.1647841571,0.24717623
Brazil,Margot,,,1.640653,2.460979462
Brazil,Marselan,,21.31689,22.68215214,34.02322769
Brazil,Marzemino,,1.1425,,
Brazil,Mencía,,0.3035,,
Brazil,Merlot,469.4358,765.7159,363.4137635,545.1206665
Brazil,Molinara,,0.0508333,0.03583225966,0.05374838784
Brazil,Montepulciano,,1.674,1.474209942,2.211314917
Brazil,Moscato Embrapa,,861.7928333,682.7998544,1024.199829
Brazil,Moscato Giallo,,126.3449,90.01771424,135.0265656
Brazil,Moscato Nazareno,,67.534,39.99477382,59.9921608
Brazil,Moscato Rosa del Trentino,,0.4172083333,,
Brazil,Muscat,,,671.1007322,1006.651123
Brazil,Muscat Bailey A,,19.34719,,
Brazil,Muscat Blanc à Petits Grains,,1005.05911,31.85366231,47.78049469
Brazil,Muscat of Alexandria,809.372,6.504694,5.865541838,8.798313141
Brazil,Nebbiolo,,1.318778,0.3447196091,0.5170794129
Brazil,Niagara,13435.58,3177.101889,1429.502231,2144.253418
Brazil,Niagara Red,,,468.5283607,702.7925415
Brazil,Norton,,102.2209722,76.8378571,115.2567825
Brazil,Négrette,,1.5325,,
Brazil,Ora,,0.3370833333,,
Brazil,Patrizia Rosa,,0.9263888889,,
Brazil,Petit Verdot,,8.153389,12.85825155,19.2873764
Brazil,Pinot Blanc,,1.424361,,
Brazil,Pinot Gris,,6.856222,7.453331196,11.17999649
Brazil,Pinot Noir,,144.7312,141.4605632,212.1908417
Brazil,Pinotage,,74.95861,13.24610258,19.86915398
Brazil,Prosecco,,173.1835,207.2227131,310.8340759
Brazil,Pölöskei Muskotály,,,0.2488351365,0.3732527196
Brazil,Rebo,,0.9308333,1.379099623,2.06864953
Brazil,Refosco,,,0.3605344645,0.5408017039
Brazil,Refosco dal Peduncolo Rosso,,1.07225,,
Brazil,Riesling,,8.681222,5.922276249,8.883414268
Brazil,Rondinella,,0.0527222,0.0368276002,0.05524139851
Brazil,Ruby Cabernet,,41.50867,24.35609376,36.53414154
Brazil,Rúbea,,81.34555556,181.1318514,271.6977844
Brazil,Sangiovese,,25.60431,2.941894874,4.412842274
Brazil,Sauvignon Blanc,139.6167,45.00589,32.72923021,49.09384537
Brazil,Sauvignon Blanc (G),,0.3969167,,
Brazil,Schönburger,,1.311166667,,
Brazil,Seibel,1966.774,581.3456944,477.8580195,716.7870483
Brazil,Seyval Blanc,,,41.23187153,61.84780884
