prime,area_2000_ha,area_2010_ha,area_2016_ha,area_2023_ha
Courbu Blanc,47.43,43.391,32.402649,32.402649
Courbu Noir,1.56,1.3655,1.325251018,1.325251018
Cove,55.67,6.48,6.102007295,
Crimposie,,,450,368.5552
Crimson Cabernet,,1.214058,1.256752181,3.877600011
Crimson Seedless,1.396765215,7.54,7.54,8.104999962
Criolla Grande,24264.0687,20744.8013,15595.6,12530.9606
Criolla Mediana,1.49,3.49,6.9,7.4666
Crnka Crna,,,,0.1
Croatina,3115.62,5699.5762,2694.554129,20.546
Crouchen,98.15,95.6276,271.46574,33.76360896
Crovassa,1.52,0.25,0.2647359458,
Cruciulita,,,0.05366135814,
Crveni Drenak,,,,0.67
Crystal,1.396765215,174.5,174.5,5.3
Crâmpoșie Selecționată,,409,18,135.4507
Csaba Gyöngye,,89.3472,175.2852343,146.3674483
Cserszegi Fűszeres,2185.304,3608.7158,4299.48605,3570.5588
Csillám,,19.7394,24.95,17.8357
Csomorika,,0.4682,0.4682,0.6044
Csókaszőlő,,2.2414,1.54745,3.0405
Códega Do Larinho,,,,990.771
Côt,26209.64966,37555.41384,52235.13689,60411.64871
DU 31120,,,0.09189999849,0.09189999849
Dakapo,,50.7,68.24489997,70.7753998
Dalkauer,100,,,
Damaschino,3186.6281,2170.7103,1621.539205,1087.12052
Danam,,0.2745,0.2676993028,0.2676993028
Danlas,,255.331,203.2255448,16.756
Danuta,,2.0401,1.975291887,2.035291887
Dattier de St. Vallier,,0.416,0.4027768693,0.4027768693
Dauphine,,,,3.4463
David Macgregor 8521-1,,,1.7,1.700000048
Dawn Seedless,19.45,,,12.767
De Chaunac,186.155592,91.178854,102.3887629,88.95686802
De Cilindro,15.38,,0.0191,0.0191
Debina,454.89,238.8,14.17949494,
Debine e Bardhë,,,,71
Debit,,402.62,,312.02
Deckrot,29,2,12.025,12.025
Dedo de Dama,,0.84,0.8182196397,0.8182196397
Defensor,,,,0.3500000015
Dekabrskii,,78,78,
Delaware,233.830876,226.83347,420.5364177,529.1473
Delhro,,0.19,0.1839605893,0.1839605893
Deliciosa,,0.12,0.1175360086,0.1175360086
Delisle,,,0.1,0.1000000015
Demir Kapija,,,,4.58
Devin,,133.05,,0.6203000011
Diagalves,1088.07,1156.28,1090,560.966
Diamond Muscat,,,,42.4935
Diana,,,,0.4047
Dimrit,602.354999,862.5,704.4557143,704.4557266
Dimyat,7739.995,2400.78,9695.675895,10537.53
Dindarella,8.57,6.88,5.020045046,
Dinka,,,,0.01
Diolinoir,31.2,114.29,121.9503968,129.5034
Divico,,,9.916500323,90.18745755
Divljaka,,,,0.14
Divona,,,0.1610000022,11.61259377
Dišeća Ranina,,1.82,,1.57
Dobričić,,,,9.58
Docal,,0.18,0.1815769333,0.1815769333
Dodrelyabi,,,0.35,0.39
Doina,,227,227,
Dolcetto,7197.12248,6331.32173,4541.482531,4264.798464
Dolciame,6.38,10.54,6.004900262,
Domina,185,406.5947,374.6747,374.08
Dominga,0.21,1,,
Dona Branca,295.98,275.94,203.5346547,1996.534655
Dona Joaquina,,23.7,11.10458007,11.10458007
Dona Zillá,,,0.8725818787,1.308872819
Donaris,,,1.030298076,
Donauveltliner,,,,0.9900000095
Donzelinho Branco,58.73,65.04,64.35727139,64.35727139
Donzelinho Roxo,,0.13,0.1317923779,0.1317923779
Donzelinho Tinto,,33.3,33.77425684,33.77425684
Doral,2.76,26.82,35.31970051,37.5424
Dorinto,,114.52,69.93767905,69.93767905
Dornfelder,3767.300078,8181.363055,7870.874263,7647.060821
Dostoinyi,,65,65,
Douce Noire,18323.43377,19630.27393,19732.74792,17447.72697
Doukkali,16557,16557,,
Doux d'Henry,26.41,9.4,6.114635452,
Drnekuša,,,,3.27
Droujba,3,3,,
Drugo,,,,19.05068463
Drupeggio,617.43,286.11,81.03157392,
Dugovrst,,,,0.9
Duna Gyöngye,,,,39.3779
Duna Gyöngye,,63.0462,45.3962,
Dunaj,,45.91,,6.376100005
Dunav,,,11.20591199,11.20591164
Dunavski Lazur,,483,483,
Dunkelfelder,281,355.843927,290.5005879,287.0390874
Dunze,0.65,,,
Duranija Bijela,,,,0.04
Duras,971.62,892.4597,785,816.9668
Durella,599.34,469.54,480.1086483,
Durif,1197.398261,3525.866918,4832.877937,5998.135861
Dzelshavi Obchuri,,,,8
ES 10-18-14,,,0.1,0.1000000015
Early Muscat,,,,0.53
Edelweiss,,31.509713,15.93971312,0.2
Ederena,0.48,0.83,0.8271790244,0.8271790244
Egiodola,315.26,349.44778,285.4477787,315.095092
Ehrenbreitsteiner,13,10,8,8
Ehrenfelser,288,112.55061,82.26969352,75.87668375
Einset Seedless,,,0.3035145,2.049114512
Ekigaina,5.06,3.5466,3.374953843,4.534953843
Ekim Kara,18.57697736,26.6,,
Elbling,1206.63,935.2739,971.6435721,572.5094636
Elbling (R),4,9,10,10
Elmer Swenson 10- 18- 30,,,0.1,0.1000000015
Elvira,343.578446,263.049173,231.075706,117.363
Emerald Riesling,596.50712,404.28132,177.498986,144.202
Emerald seedless,15.66,,,
Emir,480.1380427,687.5,88.6325,88.63249969
Emperatriz,,,,15.5909
Emperor,,,,26.6484
Enantio,1062.08,724.45,177.731505,
Encruzado,290.75,282.1,132.293112,737.495
Enfarine Noir,,0.039,0.02449602052,0.02449602052
Ensanyo Tintas,,27,,
Ensayo Blancas,,1,,
Eona,,,1.7,1.700000048
Epero,,,,1
Epicure,,,,0.1618744
Erbaluce,328.8,319.4,315.710767,
Erbamat,,24.17,1.535345072,
Ervi,5.33,4.23,3.399156473,
Erzsebet Kiralyne Emleke,,,,0.02
Escursac,,,,12
Esganacao Preto,,0.02,0.0204005533,0.0204005533
Esganinho,,0.15,0.07028215235,0.07028215235
Espadeiro,1681.5,468.51,357.4100027,460.194
Espadeiro Mole,,0.36,0.3526080257,0.3526080257
Espirit,,,1.822636584,2.4282
Estaladiña,,,,2
Esther,,,0.0008999999845,0.0008999999845
Estreito Macio,,2.83,1.325989941,1.325989941
Etraire de l'Adui,7.5,4.7859,4.528995138,4.528995138
Everest,,,,0.26
Exalta,,3.6108,3.150797494,3.150797494
Excelsior,,,0.2787000062,0.2787000062
Eyholzer Rote,,,0.2138999999,0.2138999999
Ezerfürtű,404.686,377.3548,294.579427,127.7551
Ezerjó,3156.551,1073.8868,635.5292,310.9195
Faberrebe,1585,554,331,331
Falanghina,1658.45,3037.4,322.7635984,0.1
Falanghina Flegrea,,,3634,5353
Favorit,,,2.859176355,2.906176448
Felicia,,,,0.2869999949
Fenile,,5.46,0.8125444749,
Fepiro,,0.01,0.009794667379,0.009794667379
Fer,1625.7729,1854.3786,1684.554117,1346.3008
Fernão Pires,14206.29,9474.06,12210.98,12330.647
Ferral,48.4565,30.4083,31.3,30.0721
Fertilia,13.33,3.39,2.039528784,
Festivalnyj Ustoichivyi,,,,0.0007999999798
Fetească Albă,23827.7246,17468.87,13381.99414,13114.80224
Fetească Neagră,1214.058,1719,3247.87286,3716.542668
Fetească Regală,2577.8496,13135.9,12990.66983,12602.91003
Feunate,0.05,,,
Fiano,758.18,1376.84,2166.783418,2798.864348
Fiesta,160.6279997,230,230,1607.8138
Fino de Ribera del Fresno,332.48,45,7.6896,7.6896
Fintendo,144.0707,118.1123,184.5,165.5442
Fioletovy Ranny,,50,50,53.39986347
Flame Seedless,547.8806695,55.17,55.17,5242.7807
Flavis,12.08,3.12,2.643942973,
Fleurtai,,,0.07649999857,1.003999987
Flora,6.4,5.701111,10.68612306,3.174184591
Floreal,,,,0.3437475637
Florental,0.6,25.5409,11.34970392,11.34970392
Floricica,,,13.65427984,13.65427971
Fogarina,,5.13,2.958107367,
Foglia Tonda,40.06,101.49,68.3320423,
Fogoneu,35.72,35,14.540992,15
Fokiano,162.42,262.4,211.7885506,1071
Fokiano (W),57.37,,,
Folgasao,408.57,181.64,162.2425062,162.2425062
Folgasao Roxo,,18.36,17.9870654,17.9870654
Folgasão,,,,45.48
Folha de Figueira,,3.48,1.630545934,22.74
Folignan,,50.7629,51.04916645,51.04916645
Folle Blanche,2647.45,1803.3013,1574.386189,907.4587
Fontan,0.2,,,
Fontanara,2,,1,1
Fonte Cal,355.16,110.89,51.95725249,51.95725249
Forastera,542.65,208.45,8.381301107,
Forcada,,,,47
Forcallat Tinta,2689.77,1163,535.4311,355
Forgiarin,1.67,4,2.790993617,
Forsellina,9.38,7.18,6.591313796,
Fortana,1251.96,642.4,469.4409752,
Frajla,,,,0.17
Francavidda,85.58,12.7,1.551336276,
Frappato,783.8,752.33,579.7581894,821
Fratava,,,,6.1648
Fredonia,85.79343,36.907364,28.46252291,11.3316
Freiminer,,,,0.02999999933
Freisa,1450.053384,1054.215233,519.4138295,853.5595
Freisamer,16.56,8.41,6.01930001,7.6511
Frontenac,,135.396976,212.3364372,90.84449104
Frontenac (G),,58.98737,91.50561686,40.50638204
Frontenac (W),,,26.27844425,35.56913651
Frumoasa Alba,,,8.312367609,8.312367439
Frâncușă,,621,365,277.4034
Frühroter Veltliner,1258.04,855.7534,388.0459839,376.7572839
Fubiano,2.33,9.19,2.37063345,
Fuella Nera,3.91,20.1734,19.67360698,19.67360698
Fumin,73.18,31.36,25.05267972,
Furmint,3482.62,5238.15596,4434.691587,4218.85607
GM 322,,17.05128,,
GR 7,,31.970194,13.29355332,25.6961
Gaglioppo,3591.64,4213.67,4625.733615,3674
Gaillard,,0.08,0.02451748556,0.02451748556
Galac,,,,0.02
Galbenă de Odobești,546.3261,385,417,375.6007
Galego Dourado,5.41,12.76,6.122395939,6.122395939
Galotta,,13.16,34.58549941,62.1726
Gamaret,70.97,405.4867,441.31326,480.831486
Gamay Noir,37761.8589,31896.14849,26214.97668,23127.02333
Gamay Teinturier Freaux,131.56,103.5339,79.02012975,124.4701293
Gamay Teinturier de Bouze,318.4,278.1718,254.7182377,260.5529377
Gamay Teinturier de Chaudenay,266.63,157.2585,142.0103169,142.0103169
Gamba Rossa,,0.61,0.4778697038,
Ganson,28.4,3.2424,3.147394818,3.147394818
Garandmak,930.7778,930.7778,,40.714
Garanoir,75.66,216.0439,228.8772386,229.7112797
Garganega,16553.2375,15396.60787,8552.537274,13389.0633
Gargiulo 102011,,,,249.5811
Gargiulo 14260,1,1,,
Gargiulo 2539,69.0009,48.834,29.1,24.714
Gargiulo 26189,5.82,,,
Gargiulo 26879,4.15,2.5,,
Gargiulo 4113,7.2339,6.105,2.6,2.63
Gargiulo 45803,3.839,8.1,10.3,9.45
Gargiulo 87746,,,,0.022
Gargiulo 88087,,,,202.8479
Garnacha Blanca,10793.56,7351.825788,7408.951708,10058.4424
Garnacha Peluda,2024.1,1206.2638,897.8203385,955.342007
Garnacha Roja (Gris),2761.496759,2363.101204,1462.475003,1185.616181
Garnacha Tinta,216309.0981,181363.222,150519.0433,154374.8071
Garonnet,6.6,14.2598,9.517272651,9.517272651
Garrido Fino,174.09,59,53.7032,65
Garro,,,,44
Gascon,0.02,0.9993,0.9606844794,0.9606844794
Gateta,6.95,2,,
Gegić,,11.13,,11.57
Geilweilerhof Ga- 48- 12,,,1.049799979,1.049799979
Geisenheim 318- 57,,,,0.8094
Geisenheim 318-57,,105.5128,13.7883964,13.78839612
Generosa,9.24,106.5399,327.9796822,807.0963822
Genouillet,,,,6.0843
Gesztus,,0.2854,0.2854,0.2854
Gewürztraminer,10821.60813,13927.70376,13354.91292,14089.00084
Gibi,1226.6831,1073.8209,784.5,639.0769
Ginestra,,3.75,0.5057867884,
Giro Nero,537.49,199.73,144.1950582,102
Glavinuša,,,,5.33
Godello,1488.73,1332.327833,1405.65321,3061.215499
Godominka,,,,0.03
Goecseji Zamatos,,,,0.001099999994
Goethe,,,19.8201057,29.73015785
Goldburger,617.1,140.3467,97.9867,31.5
Golden Muscat,1189.77684,1190.626681,50.04891739,49.63000107
Goldriesling,10.04,21,24,24.21
Goldtraminer,,9.08,4.853849479,
Golia,,,0.09659044465,
Golubok,50,87,37,0.04999999888
Goncalo Pires,,0.68,0.6891571101,0.6891571101
Gorgollasa,,,5.128101,21
Goruli Mtsvane,224,287.3472,287.3472,126
Gosen,,1.31,0.09053438416,
Gouais Blanc,1.12,,0.7045999765,1.138349099
Gouget Noir,0.71,9.6885,3.314250268,3.314250268
Goustolidi,112.4,68,18.66743725,
Gouveio Preto,,0.33,0.3366091294,0.3366091294
Gouveio Real,,581.7,581.1092493,106.878
Gołubok,,,,0.3110199985
Grachen,,,0.04,
Graciano,1959.813,3122.6754,2879.492512,3225.276736
Graisse,22.09,13.6509,1.156370749,1.156370749
Gramon,13.5,2.8547,2.77051607,2.77051607
Grand Manchen,,8,,
Grand Noir,949.14,955.3736,706.4772483,678.1712483
Grangeal,,1.14,1.159586664,1.159586664
Granho,,0.26,0.2655499101,0.2655499101
Grapariol,,2.18,2.330211314,
Grassen,0.91,0.0675,0.06582769741,0.06582769741
Grasă de Cotnari,849.8406,685.4901,632.1933,586.3791
Graševina,96628.8241,61194.3428,30082.58843,24348.94353
Grechetto Rosso,110.86,48.92,34.9166403,
Grechetto di Orvieto,1176.88,1501.31,1823.583824,2091
Greco,1324.9,158.16,20.68149998,2391.42
Greco Bianco,660.2,1604.03,2050.352527,
Greco Nero,3228.6909,1255.6617,436.7626864,285.8062
Grignolino,1352.72053,915.05,911.2411827,773
Grillo,1803.41,6294.51,7381.541687,9482
Gringet,74.11,25.2821,15.49210546,15.49210546
Grk Bijeli,,,,25.82
Grocanka,,,,1.12
Grolleau Noir,3006.08,2759.0522,1949.007982,2576.4677
Groppello Gentile,218.77,326.4,78.2282549,
Groppello di Mocasina,119.55,80.99,24.25078306,
Groppello di Revo,,12.19,11.84050595,
Gros Manseng,2159.54,2959.891572,3059.288694,3343.7385
Grossa,,73.15,54.00942087,54.00942087
Grüner Veltliner,41083.383,18834.1043,19124.81896,19082.39032
Gualarido,,,18.16282,18.16282
Guardavalle,167.6,33.47,15.80056508,
Guillemot,0.1,,,
Gustopupica,,,,4.36
Gutenborner,,2,,
Guzun,,,2.706937265,2.706937313
Gyöngyrizling,,23.4553,15.5199,10.1348
Gänsfüsser,,0.0412,0.01066604186,0.01066604186
Göcseji Zamatos,,55.2888,49.6231,4.8689
Haiduc,,,3.085528093,
Hajnalka,,,0.047,
Hamvas,,,0.2273,0.2273
Hasansky Sladky,,,1.285848738,1.200000048
Hegel,10,9,7,7.01
Helfensteiner,26,19,14,14
Helios,,,6.233999997,8.541034927
Herbemont,1452.823,764.46875,112.0530056,168.5995135
Heroldrebe,199,134,112,112
Heunisch Weiss,,,,5.20499961
Heuréka,,,0.1848,0.1848
Hibernal,,,20.36690735,475.9298972
Himbertscha,0.17,,0.2288999986,0.2288999986
Himrod,,0.4856232,0.5027008725,6.0705
Hondarribi Beltza,10.87,53.49,15.166971,39.49
Hondarribi Zuri,,,624.3358503,739
Hron,,,,0.0003000000142
Hrvatica,244.61,115.69,53.17092649,0.63
Huasquina Pisquera,,,,0.6
Humagne,8.87,30.23,28.97109985,26.9086
Huxelrebe,1291,630,465.678,462
Hárslevelű,1011.715,1800.2493,1617.29668,1315.0115
Hölder,12,5,2,2
IRAC 1933,,,0.03490000032,0.03490000032
Ignea,,0.731,0.7128895823,0.7128895823
Ilichevskii Rannii,5,5,,
Imperial Napoleon,,12,0.0399,0.1399
Imperial Seedless,0.6983826075,1,1,1
Impigno,60.1,7.03,1.703223385,
Incrocio Bianco Fedit 51,11.16,4.74,0.8217108431,
Incrocio Bruni 54,12.34,12.19,3.473164188,
Incrocio Manzoni 2.15,165.83,85.83,71.69290512,6.82
Incrocio Terzi 1,65.48,43.54,12.10238076,
Invernenga,31.56,6.51,4.931713567,
Inzolia,9259.16,6132.51,4740.059942,5846.0019
Iona,,,,0.8094
Iordan,,,311,295.5504
Irsai Oliver,,,,0.03
Irsai Olivér,,1414.434,1790.067738,2802.923314
Isa,,9.4929,4.606465468,4.606465468
Isabella,27449.84695,32493.87514,17797.48875,23096.13381
Italia,1076.257096,1463.202352,5187.514072,3603.685732
Italica,178.09,367.44,47.30324901,
Itasca,,,,12.141
Ives,22.662414,15.782754,,10.1175
Iza Zaliwska,,,,0.02999999933
Jacquere,1086.36,1013.841,621.1746331,821.6719303
Jacquez,225.8387086,2367.937129,1441.672273,2085.287881
Jagodinka,,,,0.27
Jampal,127.41,70.72,33.86916047,33.86916047
Jaoumet,,0.125,0.1210267035,0.1210267035
Jardovany Fekete,,,0.064,0.8222
Jazmin,,,,0.0005000000237
Jeroma,,,0.0314,0.0314
Joannes Seyve,2.52,0.8938,0.8690094611,0.8690094611
Johanniter,,86.01,110.6446,296.983294
Joubertin,1.529,1.439,,
Juan García,2076.54,1706.88,1544.721528,1418.781
Jubileum 75,,194.4953,91.3413,27.0261
Jubiläumsrebe,60.54,13.5368,6.6268,2.28
Juhfark,,186.1048,195.1915,140.2483
Juliana,,0.2316666667,,
Juodupe,,,,1.13
Jupiter,,,,1.4141
Jurançon Blanc,23.71,7.0122,1.935595058,1.935595058
Jurançon Noir,1293.65,663.0424,605.2164105,138.4065
Jurie,0.03,,,
Juwel,42,22,15,15
Jádorvány,,,0.3096,0.3058
Jázmin,,,1.8899,4.8247
K.35,,0.1848,,
KW 96-2,,,0.202343,0.202343002
Kabar,,18.1336,30.2567,35.7041
Kadarka,2630.459,1086.7101,1625.136118,1614.6141
Kadarun,,,,3.11
Kai Noir,,,,1.1
Kakotrygis,,103.3,28.35803336,
Kalecik Karası,601.0455316,860.625,704.4844911,704.4845104
Kalina,,,0.3930000067,0.3960000067
Kanella,,,,2.12
Kangun,849.8406,849.8406,,3802.5619
Kanzler,52,33,28,28
Karalahna,2.618934778,3.75,4.143857143,4.143857002
Karasakiz,2.618934778,3.75,4.143857143,4.143857002
Karmrahyut,,,,223.219
Karát,,50.4764,43.5244,35.9206
Kat.E.Lin,,,0.202343,0.202343002
Kay Gray,,1.250766,1.794751073,0.5
Kentville White 94-1,,,0.2832802,0.2832801938
Kentville White 94-2,,,0.607029,0.6070290208
Kerner,7129.332267,4090.83846,2891.242572,2500.768605
Kersus,,,,0.1787487353
Khikhvi,5,6.414,6.414,314.01
Khindogni,,,,30.125
Királyleányka,,855.0491,783.5474,799.3001
Kishmish Chernyi,,,,23.491
Kishmish Luchistyi,,,54.91692791,54.91692734
Kishmish Moldavskii,,,27.59599649,27.59599686
Kishmish Rozovyi,,,,2
Kisi,20,25.656,25.656,764
Kiyomai,,,,20.9
Kladovska Bela,,,,0.09
Klarnica,,,,3.463382098
Kleinberger Gelber,,,,0.1099992207
Knipperle,,,,1.25
Knipperlé,2.01,0.1449,0.1504987455,0.1504987455
Kocsis Irma,,10.7377,2.2599,1.2739
Kodrinskii,5,5,228.7444467,228.7444458
Kodryanka,,,1143.321389,1155.601411
Koenigin Der Weingaerten,,,,3.03
Kokur Bely,641.3247485,918.3,,
Kolor,,,6.682,2.44
Korai Bibor,,,,0.02550000002
Korinthiaki,834.12,54.3,106.3808662,43.55
Korona,,0.5775,0.9195,0.7935
Koshu,117.5377928,168.3,690.2902336,497.6
Kosmopolita,,,0.6819381892,0.35
Kosovska Rana,,,,0.02
Kossuth Lajos,,,,0.06
Kotsifali,1147.71,2330.4,1338,1296
Kozma CS. 2,,0.076,,
Kozmopoliten,,,0.1901,0.1901
Krajinski Bojadiser,,,,0.04
Krakhuna,36,46.1808,46.1808,57
Kraljevina,,446.63,198.858,162.0769697
Krasnostop Zolotovsky,,562,562,352.9615238
Krassato,38.45,51.8,4.52193675,
Kreaca,,2.8565,30.40681139,32.8552
Krisztaly,,,,0.7982999966
Krivalja Bijela,,,,0.14
Krkošija,,,,0.09
Krstač,,,,0.34
Krstičevica,,,,0.01
Kuban,,,32.20447058,32.20447159
Kujundžuša,,206.06,,170.06
Kuldzhinskii,269.2049152,385.4409,385.4409,385.4408914
Kunbarát,,8.6193,0.3992,
Kunleány,1375.932,1210.6067,974.377,559.864
Kurtelaška,,,,2.07
Kurucvér,,0.1671,0.1144,
Kyoho (4N),4003.08892,4003.08892,2762.064624,2061.8
Kármin,,36.2014,23.7659,2.8847
Kéknyelű,,42.5247,49.5317,45.1943
Königin der Weingärten,750.3004,61.177,70.42739116,61.58506544
Kövidinka,1214.058,1075.384,658.4011654,464.1791
L'Acadie Blanc,,,,1.5378068
La Crescent,,77.436391,93.64155628,30.42941027
La Crosse,,25.104569,25.92153255,0.4
Labrusco,,81,79.33680577,79.33680577
Lacoste,1.05,,,
Lacrima Christi,,85.45,226.39,261.97
Lacrima di Morro d'Alba,651.66,420.71,252.0495223,
Lado,0.68,1,1.8782,5
Lafnetscha,1.37,,1.543499947,1.543499947
Lagarino Bianco,,22.74,5.590860733,
Lagrein,470.98,717.3031444,240.84694,636.74
Lairen,297.74,214,351.0096,303
Lakemont Seedless,,,,1.2141
Lakhegyi Mézes,566.5604,305.7106,145.3446,56.3591
Lalvari,,,,68.89627
Lambrusca di Alessandria,888.36,137.21,58.47752628,
Lambrusco,41.68266,45.260717,2.187979707,3.281969547
Lambrusco Barghi,,18.32,2.681195336,
Lambrusco Grasparossa,1719.6,2734.04,954.2136559,2269.4125
Lambrusco Maestri,1512.6315,2311.5529,5657.218489,5589.8618
Lambrusco Marani,2279.89,1393.57,1074.195104,617
Lambrusco Montericco,261.64,70.18,25.4850627,
Lambrusco Oliva,,111.52,104.2020207,
Lambrusco Salamino,4146.86,5002.82,6227.639677,5363.6
Lambrusco Viadanese,277.05,240.44,58.82402434,
Lambrusco di Sorbara,1409.39,1605.73,857.6179957,1469
Lameiro,,0.39,0.2875147928,0.2875147928
Landal,15.78,42.8701,37.15118388,37.15118388
Landot Noir,0.32,3.201616,3.098715669,0.7852113064
Largrein,,,,0.8094
Lariao,,3.67,4.822393357,4.822393357
Lasina,,14.45,,17.85
Laska,1.07,,0.0504,0.9096
Lattuario Nero,,,,11.0955
Laurot,,6,,0.2474982443
Lauzet,1.04,2.607,2.53469195,2.53469195
Lecinaro,,0.66,0.4428303404,
Lefkada,,,,83.65
Leira,,0.59,0.2764431326,0.2764431326
Len de l'El,733.97,629.4765,603,646.9734
Leopoldo III,1.75,,,
Levokumskij,,890,890,484.9572179
Leányka,,837.8175,718.6232,453.7019
Liatiko,2476.23,1210.9,2633.399441,2577
Liatiko (W),69.71,,,
Liliorila,2.59,3.527,1.303054752,1.303054752
Lilla,,,0.0003000000142,0.0003000000142
Limnio,94.9,372,176.039251,
Limnio (W),27.48,,,
Lipolist,,,,0.11
Listain de Huelva,595.84,349.8,466.0542024,37.492
Listan Negro,3291.08,2666,2847.486033,2847.486033
Listrao Roxo,10.03,,,
Listán De Huelva,,,,1467
Listán Negro,,,,1427
Listán Prieto,16589.03155,4985.127808,10267.49488,10968.5374
Lival,,101.2131,98.50516687,98.80516687
Liza,,,,0.02
Ljutun,,,,0.4
Lomanto,,,3.2779566,5.82768
Longyan,,,1000,400
Lora,,,34.94439916,34.94440079
Lorena,,519.3917778,499.9785783,749.9678955
Louise Swenson,,2.931073,5.155820621,3.114099976
Loureiro,4392.37,4053.5,4696.15646,7536.816
Lourela,,0.23,0.225682959,0.225682959
Lucie Kuhlmann,,,21.2763626,21.39777242
Luglienga Bianca,,,,0.17
Luisa Blanca,,,79.5484,79.5484
Lumassina,110.68,97.6,36.74324429,
Lusitano,,0.13,0.1273306759,0.1273306759
Luzidio,,0.28,0.131193351,0.131193351
Lyana,,,41.46904997,41.58905136
L´Acadie Blanc,,,64.721644,64.72164392
Léon Millot,16.77058,101.736763,85.35393652,123.3659108
MRAC 1087,,,0.1802999964,0.1802999964
MRAC 1099,,,0.2032999983,0.2032999983
MRAC 1626,,,0.01499999966,0.01499999966
MRAC 1817,,,0.1178999981,0.1178999981
MRAC 40,,,0.01499999966,0.01499999966
Macabeo,48128.12,40864.3896,38624.50621,58160.2199
Maceratino,121.81,176.63,38.64171378,
Madeleine Royale,,3.368,2.969760364,2.969760364
Madeleine Sylvaner,,7.234818,5.5846668,1.821087
Madeleine × Angevine 7672,,51.619433,48.2909954,6.32149532
Madeleines,,6.8843,6.696926288,6.696926288
Madrasa,19.52097415,27.944,27.944,27.94399974
Magaracha Rannii,,,884.1018353,884.1018066
Magliasina,,,0.02479999978,0.02479999978
Magliocco Canino,578.74,538.6,679.0152387,2789
Magliocco Dolce,243.29,86.64,51.29500406,
Magna,,,30.48130888,45.72196198
Magyarfrankos,,0.3988,0.2877,0.2877
Maiolica,70.4,26.07,12.69315666,
Maiolina,,1.48,0.3855504624,
Maiskii Chernyi,76.72005313,109.77661,109.77661,109.7766113
Malaga,,,,0.07
Malaga Blanc,11.30502656,16.18744,54.025581,54.02558136
Malagousia,22.8,182.4,125.6869945,753
Malbo Gentile,106,210.51,218.5407516,
Malegue,1.05,,,
Malingre Precoce,2.64,0.471,0.4374489305,0.4374489305
Maliverne,0.44,,,
Malvarisco,,3.16,3.193677944,3.193677944
Malvasia,60.5233,45.0382,2184.048543,2472.282949
Malvasia Bianca Lunga,3937.25,2543.9085,1247.430856,2079.15798
Malvasia Bianca di Basilicata,874.84,210.04,31.92782744,
Malvasia Bianca di Candia,12889.059,9350.67559,9685.139738,10078.89436
Malvasia Branca de Sao Jorge,54.71,110.32,109.8765333,109.8765333
Malvasia Fina,7102.02,3500.79,3281.942599,2541.500176
Malvasia Fina Roxa,,24.98,24.00529167,24.00529167
Malvasia Moscata,,554.419804,,
Malvasia Nera Lunga,,38.35,13.85813024,
Malvasia Nera di Basilicata,753.8,114.09,39.16120696,
Malvasia Nera di Brindisi,3173.52,1314.45,1263.71156,1189.27958
Malvasia Parda,,4.4,4.154201016,4.154201016
Malvasia Preta,2209.92,1902.88,1933.029512,1172.226
Malvasia Romana,,0.18,0.1339717812,0.1339717812
Malvasia de Lanzarote,,,,982
Malvasia del Lazio,2365.62,590.46,679.7877682,976
Malvasia delle Lipari,,,,0.91
Malvasia di Candia Aromatica,1754.01,926.59,1208.439396,1386.57
Malvasia di Casorzo,97.55,107.25,98.65802596,
Malvasia di Lipari,515.79,310.23,112.6318872,52.24041768
Malvasia di Sardegna Rosada,,2.88,2.942820909,2.942820909
Malvasia di Schierano,180.5,88.89,82.11418735,
Malvazija Istarska,7558.505,2709.72,2787.596924,2539.685467
Malvia,,0.21,0.2142058096,0.2142058096
Mamaia,,,0.3595310995,
Mammolo,776.8,841.4556,911.2779687,1497.2111
Mandilaria,845.26,884.6,932,887
Mandon,260.88,,0.58676017,0.58676017
Manseng Noir,10.19,31.7356,28.90980658,32.22252397
Manteudo,,,,23
Manteudo Preto,,16.42,10.97292695,10.97292695
Manto Negro,470.23,273,310.940628,413
Manzoni Bianco,8289.55,382.22,338.7528322,622.76
Manzoni Moscato,,19.79,19.26957892,0.28
Manzoni Rosa,,29.2,22.55938625,
Mara,,,9.883199768,17.3697
Maratheftiko,,152,159,166.44
Marfal,34.53,2,1.1364,1.1364
Margot,,,1.640653,2.460979462
Mariensteiner,9,,2,2
Marmajuelo,37.23,24,20.001135,23
Marquette,,87.610702,166.3542429,119.7018237
Marquinhas,,10.74,5.032202108,5.032202108
Marquis,,,1.214058,1.6188
Mars,,1.9829614,1.675669575,1.2141
Marsanne,1512.438068,1763.34288,1833.679021,1450.240573
Marselan,175.67,2720.82239,3940.546227,10322.19614
Marufo,6339.04,6578.75,4683.4832,3392.408
Marzemina Bianca,78.2,54.17,54.56500199,
Marzemino,994.1,1090.6725,784.9391727,1399.7009
Maréchal Foch,173.1909,356.222212,228.7551312,192.361868
Maticha,353.9356,311.1298,257,198.0529
Maturana Blanca,,17.6,12.97903378,81
Mauzac Blanc,3310.19,1932.5551,1525.7547,1529.6148
Mauzac Noir,9.83,,,
Mavro,10969.01403,3575,3187,
Mavro Messenikola,3.19,,,
Mavrodafni,536.94,344.7,324.272194,535
Mavrouda,349.08,520.1,1658.490598,1617
